in_week,remaining
0.004201389,62.9639055400
0.005231481,62.9019331900
0.015277778,62.8399608400
0.017291667,62.7779884900
0.019305556,62.7160161400
0.021423611,62.6540438000
0.023900463,62.5920714500
0.028564815,62.5300991000
0.031261574,62.4681267500
0.035416667,62.4061544000
0.036736111,62.3441820600
0.037939815,62.2822097100
0.041203704,62.2202373600
0.041365741,62.1582650100
0.044050926,62.0962926600
0.047905093,62.0343203200
0.053854167,61.9723479700
0.054849537,61.9103756200
0.058043981,61.8484032700
0.058495370,61.7864309200
0.058900463,61.7244585800
0.066770833,61.6624862300
0.067152778,61.6005138800
0.078726852,61.5385415300
0.087453704,61.4765691800
0.091111111,61.4145968400
0.092916667,61.3526244900
0.100173611,61.2906521400
0.101377315,61.2286797900
0.105254630,61.1667074400
0.109583333,61.1047351000
0.110787037,61.0427627500
0.111041667,60.9807904000
0.111805556,60.9188180500
0.114699074,60.8568457000
0.115335648,60.7948733600
0.115497685,60.7329010100
0.116215278,60.6709286600
0.117615741,60.6089563100
0.118055556,60.5469839600
0.118750000,60.4850116200
0.121157407,60.4230392700
0.122835648,60.3610669200
0.124490741,60.2990945700
0.129456019,60.2371222300
0.131608796,60.1751498800
0.144618056,60.1131775300
0.147013889,60.0512051800
0.148692130,59.9892328300
0.152719907,59.9272604900
0.154652778,59.8652881400
0.159259259,59.8033157900
0.166539352,59.7413434400
0.173090278,59.6793710900
0.180787037,59.6173987500
0.187916667,59.5554264000
0.188171296,59.4934540500
0.195115741,59.4314817000
0.200520833,59.3695093500
0.204398148,59.3075370100
0.210821759,59.2455646600
0.211724537,59.1835923100
0.214965278,59.1216199600
0.258912037,59.0596476100
0.259583333,58.9976752700
0.261759259,58.9357029200
0.268622685,58.8737305700
0.274895833,58.8117582200
0.275914352,58.7497858700
0.277638889,58.6878135300
0.281157407,58.6258411800
0.283912037,58.5638688300
0.285937500,58.5018964800
0.286087963,58.4399241300
0.287789352,58.3779517900
0.290856481,58.3159794400
0.299120370,58.2540070900
0.303437500,58.1920347400
0.308622685,58.1300623900
0.316956019,58.0680900500
0.328923611,58.0061177000
0.335011574,57.9441453500
0.339259259,57.8821730000
0.352407407,57.8202006500
0.359513889,57.7582283100
0.364803241,57.6962559600
0.371145833,57.6342836100
0.391006944,57.5723112600
0.406458333,57.5103389100
0.418912037,57.4483665700
0.500729167,57.3863942200
0.501215278,57.3244218700
0.501851852,57.2624495200
0.504155093,57.2004771700
0.504363426,57.1385048300
0.505497685,57.0765324800
0.505740741,57.0145601300
0.505914352,56.9525877800
0.506122685,56.8906154300
0.506423611,56.8286430900
0.507268519,56.7666707400
0.507731481,56.7046983900
0.508125000,56.6427260400
0.508298611,56.5807536900
0.508460648,56.5187813500
0.508611111,56.4568090000
0.508773148,56.3948366500
0.509791667,56.3328643000
0.512708333,56.2708919600
0.557442130,56.2089196100
0.673217593,56.1469472600
0.700856481,56.0849749100
0.701840278,56.0230025600
0.702118056,55.9610302200
0.702557870,55.8990578700
0.704837963,55.8370855200
0.706828704,55.7751131700
0.708865741,55.7131408200
0.709687500,55.6511684800
0.709965278,55.5891961300
0.710520833,55.5272237800
0.711076389,55.4652514300
0.713449074,55.4032790800
0.798495370,55.3413067400
0.802175926,55.2793343900
0.819155093,55.2173620400
0.844803241,55.1553896900
0.845254630,55.0934173400
0.863379630,55.0314450000
0.864328704,54.9694726500
0.866111111,54.9075003000
0.892083333,54.8455279500
0.894687500,54.7835556000
0.908865741,54.7215832600
0.909456019,54.6596109100
0.918842593,54.5976385600
0.938460648,54.5356662100
0.944178241,54.4736938600
