in_week,median
0.0042013888887595,56.0
0.0052314814820420,56.0
0.0152777777766460,56.0
0.0172916666633682,56.0
0.0193055555573665,56.0
0.0214236111132777,56.0
0.0239004629620467,56.0
0.0285648148128530,55.5
0.0312615740695037,55.0
0.0354166666656965,55.0
0.0367361111057107,55.0
0.0379398148143082,55.0
0.0412037037021946,55.0
0.0413657407407300,55.0
0.0440509259278770,55.0
0.0479050925932825,55.0
0.0538541666683159,55.0
0.0548495370385353,55.0
0.0580439814802958,55.0
0.0584953703728388,55.0
0.0589004629655392,55.0
0.0667708333348855,55.0
0.0671527777813026,54.5
0.0787268518542987,54.5
0.0874537037016125,54.5
0.0911111111126957,54.5
0.0929166666683159,54.5
0.1001736111138600,54.5
0.1013773148151810,54.5
0.1052546296268700,54.5
0.1095833333311020,54.5
0.1107870370396990,54.5
0.1110416666633680,54.5
0.1118055555562020,54.5
0.1146990740744510,54.5
0.1153356481445370,54.5
0.1154976851830720,54.5
0.1162152777760640,54.5
0.1176157407389840,54.5
0.1180555555547470,54.5
0.1187500000014550,54.5
0.1211574074040980,54.5
0.1228356481515220,54.5
0.1244907407381110,54.5
0.1294560185197040,54.5
0.1316087962986780,54.5
0.1446180555576570,54.5
0.1470138888907970,54.0
0.1486921296309450,54.0
0.1527199074043890,53.5
0.1546527777754820,53.5
0.1592592592569420,53.5
0.1665393518487690,53.5
0.1730902777781010,53.5
0.1807870370394080,53.5
0.1879166666694800,53.5
0.1881712962931490,53.5
0.1951157407384020,53.5
0.2005208333357590,53.5
0.2043981481474480,53.5
0.2108217592613070,53.5
0.2117245370391170,53.5
0.2149652777807200,53.5
0.2589120370394080,53.5
0.2595833333325570,53.5
0.2617592592578150,53.5
0.2686226851874380,53.5
0.2748958333322660,53.5
0.2759143518487690,53.5
0.2776388888887600,53.5
0.2811574074075910,53.5
0.2839120370335880,53.5
0.2859374999970900,53.5
0.2860879629661210,53.0
0.2877893518525520,52.5
0.2908564814788410,52.0
0.2991203703713840,52.0
0.3034374999988360,52.0
0.3086226851883110,51.5
0.3169560185197040,51.5
0.3289236111086210,51.5
0.3350115740759070,51.5
0.3392592592572330,51.5
0.3524074074084640,51.0
