shifted,remaining,in_week
0.003090277,32.95101684,0.294756944
0.05349537,32.8872818,0.345162037
0.061724537,32.82354676,0.353391204
0.065219907,32.75981171,0.356886574
0.068090277,32.69607667,0.359756944
0.068113426,32.63234163,0.359780093
0.071226852,32.56860659,0.362893519
0.072523148,32.50487155,0.364189815
0.074363426,32.4411365,0.366030093
0.075983796,32.37740146,0.367650463
0.088854166,32.31366642,0.380520833
0.091643518,32.24993138,0.383310185
0.094479166,32.18619633,0.386145833
0.102824074,32.12246129,0.394490741
0.116319444,32.05872625,0.407986111
0.116828703,31.99499121,0.40849537
0.117025463,31.93125617,0.40869213
0.123159722,31.86752112,0.414826389
0.123472222,31.80378608,0.415138889
0.125567129,31.74005104,0.417233796
0.125625,31.676316,0.417291667
0.129097222,31.61258095,0.420763889
0.129849537,31.54884591,0.421516204
0.158981481,31.48511087,0.450648148
0.18699074,31.42137583,0.478657407
0.2140625,31.35764078,0.505729167
0.21980324,31.29390574,0.511469907
0.220474537,31.2301707,0.512141204
0.220856481,31.16643566,0.512523148
0.223310185,31.10270062,0.514976852
0.264236111,31.03896557,0.555902778
0.265046296,30.97523053,0.556712963
0.270810185,30.91149549,0.562476852
0.330879629,30.84776045,0.622546296
0.331076389,30.7840254,0.622743056
0.331087963,30.72029036,0.62275463
0.358275463,30.65655532,0.64994213
0.358310185,30.59282028,0.649976852
0.358344907,30.52908524,0.650011574
0.358391203,30.46535019,0.65005787
0.510347222,30.40161515,0.802013889
0.510763889,30.33788011,0.802430556
0.525567129,30.27414507,0.817233796
0.57980324,30.21041002,0.871469907
0.580671296,30.14667498,0.872337963
0.584814814,30.08293994,0.876481481
0.603009259,30.0192049,0.894675926
0.604976852,29.95546986,0.896643519
0.630358796,29.89173481,0.922025463
0.6609375,29.82799977,0.952604167
0.666793981,29.76426473,0.958460648
0.67099537,29.70052969,0.962662037
0.683125,29.63679464,0.974791667
0.685486111,29.5730596,0.977152778
0.690844907,29.50932456,0.982511574
0.697372685,29.44558952,0.989039352
0.698692129,29.38185448,0.990358796
0.714085648,29.31811943,1.005752315
0.732013889,29.25438439,1.023680556
0.733692129,29.19064935,1.025358796
0.7446875,29.12691431,1.036354167
0.74849537,29.06317926,1.040162037
0.754629629,28.99944422,1.046296296
0.767997685,28.93570918,1.059664352
0.771458333,28.87197414,1.063125
0.802777777,28.8082391,1.094444444
0.814027777,28.74450405,1.105694444
0.838541666,28.68076901,1.130208333
0.840694444,28.61703397,1.132361111
0.842951389,28.55329893,1.134618056
0.85011574,28.48956388,1.141782407
0.850127314,28.42582884,1.141793981
0.850821759,28.3620938,1.142488426
0.861516203,28.29835876,1.15318287
0.869421296,28.23462371,1.161087963
0.87162037,28.17088867,1.163287037
0.878692129,28.10715363,1.170358796
0.903506944,28.04341859,1.195173611
0.914236111,27.97968355,1.205902778
