remaining,median
3.151157407,19.50
3.151412037,19.50
3.153703704,19.50
3.156759259,19.50
3.159224537,19.00
3.16037037,19.00
3.162835648,19.00
3.165219907,18.50
3.170023148,18.50
3.178125,18.50
3.178715278,18.50
3.180324074,18.50
3.182233796,18.50
3.184201389,18.50
3.185231481,18.50
3.185277778,18.50
3.185856481,18.50
3.186805556,18.50
3.194594907,18.50
3.195844907,18.50
3.197569444,18.50
3.197615741,18.50
3.45693287,18.50
3.525543981,18.50
3.691145833,18.50
3.691574074,18.50
3.696377315,18.50
3.697523148,18.50
3.707013889,18.00
3.708090278,18.00
3.722430556,18.00
3.724282407,18.00
3.735393519,18.00
3.748356481,18.00
3.754618056,18.00
3.757523148,18.00
3.797222222,18.00
3.834351852,18.00
3.8503125,17.50
3.873622685,17.50
3.874907407,17.50
3.876701389,17.50
3.896863426,17.50
3.908043981,17.50
3.920474537,17.50
3.928773148,17.50
3.930694444,17.50
3.944710648,17.00
3.956608796,17.00
3.964861111,17.00
3.984710648,16.50
3.987847222,16.50
3.988344907,16.50
3.989571759,16.50
3.99275463,16.50
3.995671296,16.50
3.996099537,16.00
4.000277778,16.00
4.006608796,16.00
4.017060185,16.00
4.028599537,15.50
4.029039352,15.00
4.045555556,15.00
4.047800926,15.00
4.047928241,15.00
4.054699074,14.50
4.056168981,14.50
4.057037037,14.00
4.089351852,14.00
4.101469907,14.00
4.102858796,14.00
4.104664352,14.00
4.106203704,14.00
4.107962963,14.00
4.108599537,14.00
4.111469907,14.00
4.111597222,14.00
4.112002315,14.00
4.114108796,14.00
4.123240741,14.00
4.136435185,14.00
4.149027778,14.00
4.154270833,13.50
4.157743056,13.50
4.164722222,13.50
4.171597222,13.50
4.174305556,13.50
4.178483796,13.50
4.183796296,13.00
4.189733796,12.50
4.247777778,12.50
4.250960648,12.50
4.260752315,12.50
4.515277778,12.50
4.535208333,12.50
4.555428241,12.50
4.559340278,12.50
4.5984375,12.50
4.633356481,12.50
4.6365625,12.50
4.652800926,12.00
4.664606481,12.00
4.684305556,12.00
4.687673611,12.00
4.690069444,12.00
4.691076389,12.00
4.69244213,12.00
4.692800926,12.00
4.697268519,12.00
4.713622685,12.00
4.72818287,12.00
4.738819444,12.00
4.740856481,12.00
4.758078704,12.00
4.759490741,12.00
4.76962963,12.00
4.779907407,12.00
4.785046296,12.00
4.790011574,11.50
4.799756944,11.00
4.804571759,11.00
4.805659722,11.00
4.814641204,11.00
4.817893519,10.50
4.844710648,10.50
4.849305556,10.50
4.852685185,10.50
4.865347222,10.50
4.882708333,10.50
4.895358796,10.50
4.895393519,10.50
4.896747685,10.50
4.916875,10.50
4.920486111,10.50
4.926967593,10.50
4.93837963,10.50
4.955335648,10.50
4.955717593,10.00
4.970891204,10.00
5.013275463,9.50
5.014467593,9.50
5.017893519,9.50
5.058483796,9.50
5.066574074,9.50
5.068055556,9.50
5.076006944,9.50
5.078171296,9.50
5.090659722,9.50
5.093726852,9.50
5.100115741,9.50
5.102719907,9.50
5.111064815,9.50
5.113634259,9.50
5.114270833,9.50
5.119965278,9.50
5.122002315,9.50
5.123078704,9.50
5.128541667,9.50
5.130138889,9.50
5.141273148,9.50
5.142858796,9.50
5.144571759,9.50
5.145543981,9.50
5.1484375,9.50
5.148472222,9.50
5.150694444,9.00
5.152523148,9.00
5.153333333,9.00
5.15556713,9.00
5.156574074,8.50
5.158159722,8.50
5.158287037,8.50
5.161388889,8.50
5.166215278,8.50
5.167361111,8.50
5.170972222,8.50
5.172268519,8.00
5.178356481,8.00
5.181712963,8.00
5.205185185,8.00
5.212002315,8.00
5.214895833,8.00
5.221967593,8.00
5.225324074,8.00
5.225902778,8.00
5.226655093,8.00
5.227326389,8.00
5.227662037,8.00
5.227766204,8.00
5.2284375,8.00
5.240138889,8.00
5.240497685,8.00
5.240601852,8.00
5.242048611,7.50
5.242627315,7.50
5.244166667,7.50
5.266689815,7.50
5.405486111,7.50
5.528888889,7.50
5.545115741,7.50
5.556388889,7.50
5.558645833,7.50
5.564247685,7.50
5.567488426,7.50
5.580578704,7.50
5.594733796,7.50
5.624594907,7.50
5.661990741,7.50
5.665509259,7.50
5.677152778,7.50
5.683460648,7.50
5.700381944,7.50
5.712673611,7.50
5.71494213,7.00
5.718576389,7.00
5.718784722,7.00
5.719768519,7.00
5.719918981,7.00
5.7246875,7.00
5.73630787,7.00
5.738310185,7.00
5.73869213,7.00
5.753888889,7.00
5.754143519,7.00
5.761724537,7.00
5.761956019,7.00
5.767303241,6.50
5.77650463,6.50
5.777268519,6.50
5.779513889,6.00
5.80943287,6.00
5.826643519,6.00
5.8290625,6.00
5.836412037,5.50
5.850439815,5.50
5.851388889,5.50
5.851550926,5.00
5.860335648,5.00
5.872800926,5.00
5.875335648,5.00
5.895266204,5.00
5.911469907,5.00
5.918854167,5.00
5.920636574,5.00
5.928344907,5.00
5.95744213,4.50
5.994502315,4.50
6.005300926,4.50
6.023611111,4.50
6.030277778,4.50
6.055648148,4.50
6.055960648,4.50
6.056203704,4.50
6.056782407,4.50
6.057048611,4.50
6.057291667,4.50
6.057534722,4.50
6.059826389,4.50
6.064421296,4.50
6.075821759,4.50
6.078402778,4.50
6.09150463,4.00
6.113541667,4.00
6.115347222,3.50
6.119212963,3.50
6.119652778,3.50
6.146770833,3.50
6.153784722,3.50
6.164594907,3.50
6.16755787,3.50
6.172060185,3.50
6.184189815,3.50
6.187268519,3.50
6.193518519,3.50
6.199861111,3.50
6.201782407,3.50
6.20306713,3.50
6.204618056,3.50
6.206319444,3.50
6.207858796,3.50
6.215856481,3.00
6.221840278,3.00
6.485636574,3.00
6.574502315,3.00
6.574895833,3.00
6.601273148,3.00
6.601458333,3.00
6.621331019,3.00
6.621851852,2.50
6.622708333,2.50
6.638877315,2.50
6.644155093,2.50
6.656273148,2.00
6.66431713,2.00
6.667060185,2.00
6.667928241,2.00
6.670648148,2.00
6.673321759,2.00
6.69068287,2.00
6.700960648,2.00
6.701435185,2.00
6.703981481,2.00
6.730914352,2.00
6.754930556,2.00
6.757777778,2.00
6.764571759,2.00
6.767997685,2.00
6.779074074,1.50
6.793101852,1.00
6.794537037,1.00
6.79912037,1.00
6.808310185,1.00
6.814756944,1.00
6.825486111,1.00
6.830034722,1.00
6.843564815,1.00
6.858425926,1.00
6.862511574,1.00
6.909675926,1.00
6.936481481,1.00
6.976076389,1.00
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
