shifted,remaining,in_week
0.004351852,33.20806292,0.296018519
0.006898148,33.12504276,0.298564815
0.007372685,33.0420226,0.299039352
0.017650463,32.95900245,0.30931713
0.035011574,32.87598229,0.326678241
0.037685185,32.79296213,0.329351852
0.040405092,32.70994197,0.332071759
0.044016203,32.62692182,0.33568287
0.052060185,32.54390166,0.343726852
0.06417824,32.4608815,0.355844907
0.085625,32.37786134,0.377291667
0.086481481,32.29484119,0.378148148
0.106875,32.21182103,0.398541667
0.107060185,32.12880087,0.398726852
0.1334375,32.04578072,0.425104167
0.133831018,31.96276056,0.425497685
0.222696759,31.8797404,0.514363426
0.486493055,31.79672024,0.778159722
0.492476852,31.71370009,0.784143519
0.500474537,31.63067993,0.792141204
0.502013889,31.54765977,0.793680556
0.505266203,31.46463961,0.79693287
0.506550926,31.38161946,0.798217593
0.508472222,31.2985993,0.800138889
0.514814814,31.21557914,0.806481481
0.521064814,31.13255899,0.812731481
0.554548611,31.04953883,0.846215278
0.5615625,30.96651867,0.853229167
0.588680555,30.88349851,0.880347222
0.58912037,30.80047836,0.880787037
0.592986111,30.7174582,0.884652778
0.594791666,30.63443804,0.886458333
0.616828703,30.55141788,0.90849537
0.643912037,30.46839773,0.935578704
0.650798611,30.38537757,0.942465278
0.651041666,30.30235741,0.942708333
0.651284722,30.21933726,0.942951389
0.651550926,30.1363171,0.943217593
0.652129629,30.05329694,0.943796296
0.652372685,29.97027678,0.944039352
0.678055555,29.88725663,0.969722222
0.684722222,29.80423647,0.976388889
0.703032407,29.72121631,0.994699074
0.713831018,29.63819615,1.005497685
0.750891203,29.555176,1.04255787
0.779988426,29.47215584,1.071655093
0.789479166,29.38913568,1.081145833
0.796863426,29.30611553,1.088530093
0.813067129,29.22309537,1.104733796
0.832997685,29.14007521,1.124664352
0.847997685,29.05705505,1.139664352
0.856782407,28.9740349,1.148449074
0.856944444,28.89101474,1.148611111
0.857893518,28.80799458,1.149560185
0.871921296,28.72497442,1.163587963
0.881689814,28.64195427,1.173356481
0.898900463,28.55893411,1.19056713
0.928819444,28.47591395,1.220486111
0.931064814,28.39289379,1.222731481
0.931828703,28.30987364,1.22349537
0.941030092,28.22685348,1.232696759
0.946377314,28.14383332,1.238043981
0.946608796,28.06081317,1.238275463
0.954189814,27.97779301,1.245856481
0.954444444,27.89477285,1.246111111
0.969641203,27.81175269,1.26130787
0.970023148,27.72873254,1.261689815
0.972025463,27.64571238,1.26369213
0.983645833,27.56269222,1.2753125
0.988414352,27.47967206,1.280081019
0.988564814,27.39665191,1.280231481
0.995659722,27.31363175,1.287326389
1.007951389,27.23061159,1.299618056
1.042824074,27.14759144,1.334490741
1.046342592,27.06457128,1.338009259
1.113599537,26.98155112,1.405266204
1.140844907,26.89853096,1.432511574
1.144085648,26.81551081,1.435752315
1.1496875,26.73249065,1.441354167
1.151944444,26.64947049,1.443611111
1.163217592,26.56645033,1.454884259
1.179444444,26.48343018,1.471111111
1.302847222,26.40041002,1.594513889
1.441643518,26.31738986,1.733310185
1.466284722,26.23436971,1.757951389
1.480567129,26.15134955,1.772233796
1.4934375,26.06832939,1.785104167
1.503148148,25.98530923,1.794814815
1.536064814,25.90228908,1.827731481
1.537361111,25.81926892,1.829027778
1.540972222,25.73624876,1.832638889
1.542118055,25.6532286,1.833784722
1.546944444,25.57020845,1.838611111
1.550046296,25.48718829,1.841712963
1.550173611,25.40416813,1.841840278
1.551759259,25.32114797,1.843425926
1.552766203,25.23812782,1.84443287
1.555,25.15510766,1.846666667
1.555810185,25.0720875,1.847476852
1.557638889,24.98906735,1.849305556
1.559861111,24.90604719,1.851527778
1.559895833,24.82302703,1.8515625
1.562789352,24.74000687,1.854456019
1.563761574,24.65698672,1.855428241
1.565474537,24.57396656,1.857141204
1.567060185,24.4909464,1.858726852
1.578194444,24.40792624,1.869861111
1.579791666,24.32490609,1.871458333
1.585254629,24.24188593,1.876921296
1.586331018,24.15886577,1.877997685
1.588368055,24.07584562,1.880034722
1.597268518,23.99282546,1.888935185
1.605613426,23.9098053,1.897280093
1.614606481,23.82678514,1.906273148
1.617673611,23.74376499,1.909340278
1.630162037,23.66074483,1.921828704
1.649849537,23.57772467,1.941516204
1.69386574,23.49470451,1.985532407
1.69505787,23.41168436,1.986724537
1.737442129,23.3286642,2.029108796
1.75261574,23.24564404,2.044282407
