in_week,remaining
0.00869213,32.95101684
0.01869213,32.8872818
0.019293981,32.82354676
0.040474537,32.75981171
0.040925926,32.69607667
0.044594907,32.63234163
0.045729167,32.56860659
0.065115741,32.50487155
0.075960648,32.4411365
0.076886574,32.37740146
0.077893519,32.31366642
0.079074074,32.24993138
0.079733796,32.18619633
0.090474537,32.12246129
0.090798611,32.05872625
0.101909722,31.99499121
0.105092593,31.93125617
0.105277778,31.86752112
0.114085648,31.80378608
0.12431713,31.74005104
0.162615741,31.676316
0.18525463,31.61258095
0.185844907,31.54884591
0.191608796,31.48511087
0.192789352,31.42137583
0.194016204,31.35764078
0.194398148,31.29390574
0.205717593,31.2301707
0.208622685,31.16643566
0.211203704,31.10270062
0.211909722,31.03896557
0.214456019,30.97523053
0.22068287,30.91149549
0.223356481,30.84776045
0.233483796,30.7840254
0.234050926,30.72029036
0.240405093,30.65655532
0.242303241,30.59282028
0.242418981,30.52908524
0.245717593,30.46535019
0.260497685,30.40161515
0.262407407,30.33788011
0.281909722,30.27414507
0.289398148,30.21041002
0.294756944,30.14667498
0.345162037,30.08293994
0.353391204,30.0192049
0.356886574,29.95546986
0.359756944,29.89173481
0.359780093,29.82799977
0.362893519,29.76426473
0.364189815,29.70052969
0.366030093,29.63679464
0.367650463,29.5730596
0.380520833,29.50932456
0.383310185,29.44558952
0.386145833,29.38185448
0.394490741,29.31811943
0.407986111,29.25438439
0.40849537,29.19064935
0.40869213,29.12691431
0.414826389,29.06317926
0.415138889,28.99944422
0.417233796,28.93570918
0.417291667,28.87197414
0.420763889,28.8082391
0.421516204,28.74450405
0.450648148,28.68076901
0.478657407,28.61703397
0.505729167,28.55329893
0.511469907,28.48956388
0.512141204,28.42582884
0.512523148,28.3620938
0.514976852,28.29835876
0.555902778,28.23462371
0.556712963,28.17088867
0.562476852,28.10715363
0.622546296,28.04341859
0.622743056,27.97968355
0.62275463,27.9159485
0.64994213,27.85221346
0.649976852,27.78847842
0.650011574,27.72474338
0.65005787,27.66100833
0.802013889,27.59727329
0.802430556,27.53353825
0.817233796,27.46980321
0.871469907,27.40606817
0.872337963,27.34233312
0.876481481,27.27859808
0.894675926,27.21486304
0.896643519,27.151128
0.922025463,27.08739295
0.952604167,27.02365791
0.958460648,26.95992287
0.962662037,26.89618783
0.974791667,26.83245279
0.977152778,26.76871774
0.982511574,26.7049827
0.989039352,26.64124766
0.990358796,26.57751262
1.005752315,26.51377757
1.023680556,26.45004253
1.025358796,26.38630749
1.036354167,26.32257245
1.040162037,26.25883741
1.046296296,26.19510236
1.059664352,26.13136732
1.063125,26.06763228
1.094444444,26.00389724
1.105694444,25.94016219
1.130208333,25.87642715
1.132361111,25.81269211
1.134618056,25.74895707
1.141782407,25.68522203
1.141793981,25.62148698
1.142488426,25.55775194
1.15318287,25.4940169
1.161087963,25.43028186
1.163287037,25.36654681
1.170358796,25.30281177
1.195173611,25.23907673
1.205902778,25.17534169
1.209953704,25.11160664
1.221840278,25.0478716
1.227928241,24.98413656
1.254594907,24.92040152
1.254664352,24.85666648
1.264837963,24.79293143
1.268298611,24.72919639
1.291875,24.66546135
1.293148148,24.60172631
1.293344907,24.53799126
1.294027778,24.47425622
1.329699074,24.41052118
1.329907407,24.34678614
1.333032407,24.2830511
