shifted,median,in_week
1.911018518,18.5,2.202685185
1.919166666,18.5,2.210833333
1.924398148,18.5,2.216064815
1.926956018,18.5,2.218622685
1.933622685,18.5,2.225289352
1.949363426,18.5,2.241030093
1.954733796,18.5,2.246400463
1.958009259,18.5,2.249675926
1.988819444,18.5,2.280486111
1.989085648,18.5,2.280752315
2.0134375,18.5,2.305104167
2.01443287,18.5,2.306099537
2.021666666,18.5,2.313333333
2.023530092,18.5,2.315196759
2.032025463,18,2.32369213
2.032939814,17.5,2.324606481
2.034212963,17,2.32587963
2.034664352,16.5,2.326331019
2.03667824,16.5,2.328344907
2.038020833,16.5,2.3296875
2.060081018,16.5,2.351747685
2.064317129,16.5,2.355983796
2.089328703,16.5,2.38099537
2.097453703,16.5,2.38912037
2.098657407,16.5,2.390324074
2.106203703,16.5,2.39787037
2.106689814,16.5,2.398356481
2.127997685,16.5,2.419664352
2.150648148,16.5,2.442314815
2.155972222,16,2.447638889
2.21167824,16,2.503344907
2.226828703,16,2.51849537
2.229710648,16,2.521377315
2.230543981,16,2.522210648
2.2784375,16,2.570104167
2.304583333,16,2.59625
2.305439814,16,2.597106481
2.306215277,16,2.597881944
2.318020833,16,2.6096875
2.538888889,16,2.830555556
2.539016203,16,2.83068287
2.539224537,16,2.830891204
2.539456018,16,2.831122685
2.539571759,16,2.831238426
2.553356481,16,2.845023148
2.558703703,16,2.85037037
2.581759259,16,2.873425926
2.592025463,16,2.88369213
2.608136574,16,2.899803241
2.608344907,16,2.900011574
2.611793981,16,2.903460648
2.615752314,16,2.907418981
2.616643518,16,2.908310185
2.620405092,16,2.912071759
2.6328125,16,2.924479167
2.654398148,16,2.946064815
2.661168981,16,2.952835648
2.663067129,16,2.954733796
2.663564814,16,2.955231481
2.666446759,16,2.958113426
2.666782407,16,2.958449074
2.668333333,16,2.96
2.668842592,16,2.960509259
2.678113426,16,2.969780093
2.678460648,16,2.970127315
2.682511574,16,2.974178241
2.682592592,15.5,2.974259259
2.691608796,15.5,2.983275463
2.696423611,15.5,2.988090278
2.710671296,15.5,3.002337963
2.724537037,15.5,3.016203704
2.72724537,15.5,3.018912037
2.727719907,15,3.019386574
2.7296875,15,3.021354167
2.730219907,15,3.021886574
2.731817129,15,3.023483796
2.732754629,15,3.024421296
2.735208333,15,3.026875
2.740034722,15,3.031701389
2.743310185,15,3.034976852
2.74761574,15,3.039282407
2.75167824,15,3.043344907
2.752986111,15,3.044652778
2.770104166,14.5,3.061770833
2.771655092,14.5,3.063321759
2.772256944,14.5,3.063923611
2.781840277,14.5,3.073506944
2.786944444,14.5,3.078611111
2.808206018,14.5,3.099872685
2.81,14.5,3.101666667
2.811261574,14.5,3.102928241
2.81386574,14.5,3.105532407
2.815358796,14.5,3.107025463
2.817395833,14.5,3.1090625
